"quad";"species";"individual";"microh";"ind";"x";"y";"diam";"height";"leaves";"demo";"pheno";"dryw";"ancho";"Sup_mm2";"Error";"lma";"sla";"radius";"xt";"yt";"id";"area";"gdist_min";"biomass"
2;"Leontodon montanus";20;"open";"na";9.3;90.8;2.4;1.2;2;"j";"v";3281;20.1;70.4980664518;2.353958005;46.5402835160485;0.0214867621005181;1.2;109.3;90.8;2.2;4.50531259315865;15.8928755907261;6562
2;"Leontodon montanus";21;"open";"na";47.2;89.7;6.3;1.4;7;"a";"v";10754;30.9;145.9745974774;2.0474756992;73.6703521423647;0.0135739815396504;3.15;147.2;89.7;2.21;31.0444195872338;5.7665774919184;75278
2;"Leontodon montanus";22;"open";"na";72.7;88.8;8.1;1.9;12;"a";"v";23920;31.2;271.2933625402;1.4651675893;88.1702367357239;0.0113416957583696;4.05;172.7;88.8;2.22;51.3183262564477;3.49784100638138;287040
2;"Leontodon montanus";23;"open";"na";40.4;78.2;3.6;1.9;4;"a";"v";7651;29;87.2650579034;2.6163387686;87.6754130899614;0.0114057061695726;1.8;140.4;78.2;2.23;10.136953334607;11.264845551798;30604
2;"Linaria alpina";1;"open";"na";88.6;12.4;0.5;1.1;15;"j";"v";195;3;2.616482206;10.4109589041;74.5275467774383;0.0134178574666667;0.25;188.6;12.4;2.1;0.195543081300287;6.87190772555394;2925
2;"Linaria alpina";2;"open";"na";95.4;12.3;0.2;0.3;2;"j";"v";464.815789473684;NA;NA;NA;71.514504874728;NA;0.1;195.4;12.3;2.2;0.0312868930080466;0.937737151564059;929.631578947368
2;"Linaria alpina";3;"dryas";"2";25.7;21.2;0.8;1.6;20;"a";"v";463;3.1;2.891034429;13.9568345324;160.150289237527;0.00624413483585313;0.4;125.7;21.2;2.3;0.500590288128737;0;9260
2;"Linaria alpina";4;"dryas";"2";29.6;19.8;1.9;3.4;40;"a";"v";535;5.2;5.4648641902;12.9770992366;97.8981327586149;0.0102146994209346;0.95;129.6;19.8;2.4;2.82364209397616;0;21400
2;"Linaria alpina";5;"dryas";"2";34.3;20;1.8;2.7;35;"a";"v";491;1.6;5.9516019662;10.0591715976;82.4987965909782;0.0121213889331976;0.9;134.3;20;2.5;2.53423833365173;0;17185
2;"Linaria alpina";6;"dryas";"2";38.6;21.8;0.8;1.7;20;"a";"v";466;5.6;6.4229261824;7.5892857143;72.5526009121708;0.0137831033957082;0.4;138.6;21.8;2.6;0.500590288128739;0;9320
